Cultura;Area;Insumo;Tipo de insumo;Custo de producao
Cafe;100;2000.0;Fosfato;300.0
Cafe;130;2600.0;Nitrogenio;400.0
Cafe;150;3200.0;Fosfato;330.0
Cafe;300;2000.0;Fosfato;330.0
Cafe;200;4000.0;Calcio;370.0
Cafe;180;3600.0;Fosfato;390.0
Cafe;210;4200.0;Fosfato;410.0
Cafe;170;3400.0;Nitrogenio;380.0
Soja;210;4200.0;Calcio;580.0
Soja;220;4400.0;Fosfato;590.0
Soja;330;6600.0;Nitrogenio;570.0
Soja;290;5800.0;Fosfato;700.0
Soja;100;2000.0;Calcio;400.0
Soja;90;1800.0;Nitrogenio;300.0
Soja;110;2200.0;Fosfato;600.0
Soja;150;3000.0;Nitrogenio;450.0
Soja;160;3200.0;Calcio;400.0
Soja;230;4600.0;Nitrogenio;420.0
Cana;250.0;5000.0;Calcio;800.0
Cana;290.0;5800.0;Nitrogenio;700.0
Cana;260.0;5200.0;Fosfato;670.0
Cana;350.0;7000.0;Calcio;670.0
Cana;320.0;6400.0;Nitrogenio;510.0
Cana;430.0;4600.0;Calcio;560.0
Cana;320.0;6400.0;Nitrogenio;660.0
Cana;270.0;5400.0;Calcio;640.0
Cana;260.0;5200.0;Fosfato;490.0
